A-D,E-K,L-O,P-Z
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,HYDROBIOLOGIA,,SOLAR SYSTEM RESEARCH
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,HYDROGEOLOGY JOURNAL,,SOLDAGEM & INSPECAO
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,HYDROLOGICAL PROCESSES,,SOLDERING & SURFACE MOUNT TECHNOLOGY
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,HYDROLOGICAL SCIENCES JOURNAL,,SOLID EARTH
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,,SOLID FUEL CHEMISTRY
BIOCHIMIE,HYDROLOGY AND EARTH SYSTEM SCIENCES,,SOLID STATE COMMUNICATIONS
BIOCHIP JOURNAL,HYDROLOGY RESEARCH,,SOLID-STATE ELECTRONICS
BIOCONJUGATE CHEMISTRY,HYDROMETALLURGY,,SOLID STATE IONICS
BIOCONTROL,HYLE,,SOLID STATE NUCLEAR MAGNETIC RESONANCE
BIOCONTROL SCIENCE,HYPERTENSION,,SOLID STATE SCIENCES
BIOCONTROL SCIENCE AND TECHNOLOGY,HYPERTENSION IN PREGNANCY,,SOLVENT EXTRACTION AND ION EXCHANGE
BIOCYBERNETICS AND BIOMEDICAL ENGINEERING,HYPERTENSION RESEARCH,,SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN
BIODATA MINING,HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,,SOMATOSENSORY AND MOTOR RESEARCH
BIODEGRADATION,IAWA JOURNAL,,SORT-STATISTICS AND OPERATIONS RESEARCH TRANSACTIONS
BIO-DESIGN AND MANUFACTURING,IBIS,,SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE
BIODIVERSITY AND CONSERVATION,IBM JOURNAL OF RESEARCH AND DEVELOPMENT,,SOUTH AFRICAN JOURNAL OF BOTANY
BIODIVERSITY DATA JOURNAL,ICARUS,,SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE
BIODRUGS,ICELANDIC AGRICULTURAL SCIENCES,,SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE
BIOELECTROCHEMISTRY,ICES JOURNAL OF MARINE SCIENCE,,SOUTH AFRICAN JOURNAL OF GEOLOGY
BIOELECTROMAGNETICS,ICGA JOURNAL,,SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING
BIOENERGY RESEARCH,ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,,SOUTH AFRICAN JOURNAL OF PSYCHIATRY
BIOENGINEERED,ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,,SOUTH AFRICAN JOURNAL OF SCIENCE
BIOENGINEERING-BASEL,ICHTHYOLOGICAL RESEARCH,,SOUTH AFRICAN JOURNAL OF SURGERY
BIOENGINEERING & TRANSLATIONAL MEDICINE,ICHTHYOLOGY AND HERPETOLOGY,,SOUTH AMERICAN JOURNAL OF HERPETOLOGY
BIOESSAYS,ICT EXPRESS,,SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH
BIOETHICS,IDEGGYOGYASZATI SZEMLE-CLINICAL NEUROSCIENCE,,SOUTHEASTERN NATURALIST
BIOFABRICATION,IDOJARAS,,SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE
BIOFACTORS,IEEE ACCESS,,SOUTHERN FORESTS
BIOFOULING,IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,,SOUTHERN MEDICAL JOURNAL
BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,,SOUTHWESTERN ENTOMOLOGIST
BIOFUELS-UK,IEEE-ACM TRANSACTIONS ON NETWORKING,,SOUTHWESTERN NATURALIST
BIOGEOCHEMISTRY,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,,SPACE SCIENCE REVIEWS
BIOGEOSCIENCES,IEEE ANNALS OF THE HISTORY OF COMPUTING,,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS
BIOGERONTOLOGY,IEEE ANTENNAS AND PROPAGATION MAGAZINE,,SPANISH JOURNAL OF AGRICULTURAL RESEARCH
BIOIMPACTS,IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS,,SPANISH JOURNAL OF PSYCHOLOGY
BIOINFORMATICS,IEEE-ASME TRANSACTIONS ON MECHATRONICS,,SPATIAL STATISTICS
BIOINORGANIC CHEMISTRY AND APPLICATIONS,IEEE-CAA JOURNAL OF AUTOMATICA SINICA,,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY
BIOINSPIRATION & BIOMIMETICS,IEEE CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY
BIOINSPIRED BIOMIMETIC AND NANOBIOMATERIALS,IEEE CIRCUITS AND SYSTEMS MAGAZINE,,SPECTROSCOPY
BIOINTERPHASES,IEEE COMMUNICATIONS LETTERS,,SPECTROSCOPY AND SPECTRAL ANALYSIS
BIOINVASIONS RECORDS,IEEE COMMUNICATIONS MAGAZINE,,SPECTROSCOPY LETTERS
BIOLOGIA,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,,SPE DRILLING & COMPLETION
BIOLOGIA FUTURA,IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,,SPEECH COMMUNICATION
BIOLOGIA PLANTARUM,IEEE COMPUTER ARCHITECTURE LETTERS,,SPE JOURNAL
BIOLOGICAL AGRICULTURE & HORTICULTURE,IEEE COMPUTER GRAPHICS AND APPLICATIONS,,SPE PRODUCTION & OPERATIONS
BIOLOGICAL BULLETIN,IEEE CONSUMER ELECTRONICS MAGAZINE,,SPE RESERVOIR EVALUATION & ENGINEERING
BIOLOGICAL CHEMISTRY,IEEE CONTROL SYSTEMS MAGAZINE,,SPIN
BIOLOGICAL CONSERVATION,IEEE DESIGN & TEST,,SPINAL CORD
BIOLOGICAL CONTROL,IEEE ELECTRICAL INSULATION MAGAZINE,,SPINE
BIOLOGICAL CYBERNETICS,IEEE ELECTRON DEVICE LETTERS,,SPINE JOURNAL
BIOLOGICAL INVASIONS,IEEE EMBEDDED SYSTEMS LETTERS,,SPIXIANA
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,SPORT EDUCATION AND SOCIETY
BIOLOGICAL & PHARMACEUTICAL BULLETIN,IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,,SPORT PSYCHOLOGIST
BIOLOGICAL PROCEDURES ONLINE,IEEE INDUSTRIAL ELECTRONICS MAGAZINE,,SPORTS BIOMECHANICS
BIOLOGICAL PSYCHIATRY,IEEE INDUSTRY APPLICATIONS MAGAZINE,,SPORTS HEALTH-A MULTIDISCIPLINARY APPROACH
BIOLOGICAL PSYCHIATRY-COGNITIVE NEUROSCIENCE AND NEUROIMAGING,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,,SPORTS MEDICINE
BIOLOGICAL PSYCHOLOGY,IEEE INTELLIGENT SYSTEMS,,SPORTS MEDICINE AND ARTHROSCOPY REVIEW
BIOLOGICAL RESEARCH,IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE,,SPORTS MEDICINE-OPEN
BIOLOGICAL RESEARCH FOR NURSING,IEEE INTERNET COMPUTING,,SPORTVERLETZUNG-SPORTSCHADEN
BIOLOGICAL REVIEWS,IEEE INTERNET OF THINGS JOURNAL,,SRPSKI ARHIV ZA CELOKUPNO LEKARSTVO
BIOLOGICAL RHYTHM RESEARCH,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,,SSM-POPULATION HEALTH
BIOLOGICALS,IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS,,STAHLBAU
BIOLOGICAL TRACE ELEMENT RESEARCH,IEEE JOURNAL OF OCEANIC ENGINEERING,,STARCH-STARKE
BIOLOGICHESKIE MEMBRANY,IEEE JOURNAL OF PHOTOVOLTAICS,,STAT
BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY,IEEE JOURNAL OF QUANTUM ELECTRONICS,,STATA JOURNAL
BIOLOGY AND FERTILITY OF SOILS,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,STATISTICAL ANALYSIS AND DATA MINING
BIOLOGY-BASEL,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,,STATISTICAL APPLICATIONS IN GENETICS AND MOLECULAR BIOLOGY
BIOLOGY BULLETIN,IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,,STATISTICAL METHODS AND APPLICATIONS
BIOLOGY DIRECT,IEEE JOURNAL OF SOLID-STATE CIRCUITS,,STATISTICAL METHODS IN MEDICAL RESEARCH
BIOLOGY LETTERS,IEEE JOURNAL OF THE ELECTRON DEVICES SOCIETY,,STATISTICAL MODELLING
BIOLOGY OF REPRODUCTION,IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE,,STATISTICAL PAPERS
BIOLOGY OF SEX DIFFERENCES,IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS,,STATISTICAL SCIENCE
BIOLOGY OF SPORT,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,,STATISTICA NEERLANDICA
BIOLOGY OF THE CELL,IEEE LATIN AMERICA TRANSACTIONS,,STATISTICA SINICA
BIOLOGY OPEN,IEEE MAGNETICS LETTERS,,STATISTICS
BIOLOGY & PHILOSOPHY,IEEE MICRO,,STATISTICS AND COMPUTING
BIOMACROMOLECULES,IEEE MICROWAVE AND WIRELESS TECHNOLOGY LETTERS,,STATISTICS AND ITS INTERFACE
BIOMARKER RESEARCH,IEEE MICROWAVE MAGAZINE,,STATISTICS IN BIOPHARMACEUTICAL RESEARCH
BIOMARKERS,IEEE MULTIMEDIA,,STATISTICS IN MEDICINE
BIOMARKERS IN MEDICINE,IEEE NETWORK,,STATISTICS & PROBABILITY LETTERS
BIOMASS & BIOENERGY,IEEE PERVASIVE COMPUTING,,STEEL AND COMPOSITE STRUCTURES
BIOMASS CONVERSION AND BIOREFINERY,IEEE PHOTONICS JOURNAL,,STEEL RESEARCH INTERNATIONAL
BIOMATERIALS,IEEE PHOTONICS TECHNOLOGY LETTERS,,STEM CELL REPORTS
BIOMATERIALS ADVANCES,IEEE POWER & ENERGY MAGAZINE,,STEM CELL RESEARCH
BIOMATERIALS RESEARCH,IEEE PULSE,,STEM CELL RESEARCH & THERAPY
BIOMATERIALS SCIENCE,IEEE REVIEWS IN BIOMEDICAL ENGINEERING,,STEM CELL REVIEWS AND REPORTS
BIOMECHANICS AND MODELING IN MECHANOBIOLOGY,IEEE ROBOTICS AND AUTOMATION LETTERS,,STEM CELLS
BIOMEDICA,IEEE ROBOTICS & AUTOMATION MAGAZINE,,STEM CELLS AND DEVELOPMENT
BIOMEDICAL AND ENVIRONMENTAL SCIENCES,IEEE SECURITY & PRIVACY,,STEM CELLS INTERNATIONAL
BIOMEDICAL CHROMATOGRAPHY,IEEE SENSORS JOURNAL,,STEM CELLS TRANSLATIONAL MEDICINE
BIOMEDICAL ENGINEERING-BIOMEDIZINISCHE TECHNIK,IEEE SIGNAL PROCESSING LETTERS,,STEREOTACTIC AND FUNCTIONAL NEUROSURGERY
BIOMEDICAL ENGINEERING LETTERS,IEEE SIGNAL PROCESSING MAGAZINE,,STEROIDS
BIOMEDICAL ENGINEERING ONLINE,IEEE SOFTWARE,,STOCHASTIC ANALYSIS AND APPLICATIONS
BIOMEDICAL JOURNAL,IEEE SPECTRUM,,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT
BIOMEDICAL MATERIALS,IEEE SYSTEMS JOURNAL,,STOCHASTIC MODELS
BIO-MEDICAL MATERIALS AND ENGINEERING,IEEE TECHNOLOGY AND SOCIETY MAGAZINE,,STOCHASTIC PROCESSES AND THEIR APPLICATIONS
BIOMEDICAL MICRODEVICES,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,,STOCHASTICS AND DYNAMICS
BIOMEDICAL OPTICS EXPRESS,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,,STOCHASTICS AND PARTIAL DIFFERENTIAL EQUATIONS-ANALYSIS AND COMPUTATIONS
BIOMEDICAL PAPERS-OLOMOUC,IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,,STOCHASTICS-AN INTERNATIONAL JOURNAL OF PROBABILITY AND STOCHASTIC PROCESSES
BIOMEDICAL RESEARCH-TOKYO,IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,,ST PETERSBURG MATHEMATICAL JOURNAL
BIOMEDICAL SIGNAL PROCESSING AND CONTROL,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,,STRAHLENTHERAPIE UND ONKOLOGIE
BIOMEDICINE & PHARMACOTHERAPY,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,STRAIN
BIOMEDICINES,IEEE TRANSACTIONS ON BIG DATA,,STRATIGRAPHY
BIOMETALS,IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS,,STRATIGRAPHY AND GEOLOGICAL CORRELATION
BIOMETRICAL JOURNAL,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,,STRENGTH AND CONDITIONING JOURNAL
BIOMETRICS,IEEE TRANSACTIONS ON BROADCASTING,,STRENGTH OF MATERIALS
BIOMETRIKA,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,,STRESS AND HEALTH
BIOMICROFLUIDICS,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,,STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS
BIOMIMETICS,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING
BIOMOLECULAR NMR ASSIGNMENTS,IEEE TRANSACTIONS ON CLOUD COMPUTING,,STROKE
BIOMOLECULES,IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,,STROKE AND VASCULAR NEUROLOGY
BIOMOLECULES AND BIOMEDICINE,IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING,,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION
BIOMOLECULES & THERAPEUTICS,IEEE TRANSACTIONS ON COMMUNICATIONS,,STRUCTURAL CHEMISTRY
BIOORGANIC CHEMISTRY,IEEE TRANSACTIONS ON COMPONENTS PACKAGING AND MANUFACTURING TECHNOLOGY,,STRUCTURAL CONCRETE
BIOORGANIC & MEDICINAL CHEMISTRY,IEEE TRANSACTIONS ON COMPUTATIONAL IMAGING,,STRUCTURAL CONTROL & HEALTH MONITORING
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS
BIOPHARMACEUTICS & DRUG DISPOSITION,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,STRUCTURAL DYNAMICS-US
BIOPHARM INTERNATIONAL,IEEE TRANSACTIONS ON COMPUTERS,,STRUCTURAL ENGINEERING AND MECHANICS
BIOPHYSICAL CHEMISTRY,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,,STRUCTURAL ENGINEERING INTERNATIONAL
BIOPHYSICAL JOURNAL,IEEE TRANSACTIONS ON CONTROL OF NETWORK SYSTEMS,,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL
BIOPOLYMERS,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL
BIOPRESERVATION AND BIOBANKING,IEEE TRANSACTIONS ON CYBERNETICS,,STRUCTURAL SAFETY
BIOPROCESS AND BIOSYSTEMS ENGINEERING,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,,STRUCTURE
BIOREMEDIATION JOURNAL,IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,,STRUCTURE AND INFRASTRUCTURE ENGINEERING
BIORESOURCES,IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,,STRUCTURES
BIORESOURCES AND BIOPROCESSING,IEEE TRANSACTIONS ON EDUCATION,,STUDIA GEOPHYSICA ET GEODAETICA
BIORESOURCE TECHNOLOGY,IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,,STUDIA LOGICA
BIORHEOLOGY,IEEE TRANSACTIONS ON ELECTRON DEVICES,,STUDIA MATHEMATICA
BIOSCIENCE,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,,STUDIA SCIENTIARUM MATHEMATICARUM HUNGARICA
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,,STUDIA UNIVERSITATIS BABES-BOLYAI CHEMIA
BIOSCIENCE JOURNAL,IEEE TRANSACTIONS ON ENERGY CONVERSION,,STUDIES IN APPLIED MATHEMATICS
BIOSCIENCE OF MICROBIOTA FOOD AND HEALTH,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,,STUDIES IN CONSERVATION
BIOSCIENCE REPORTS,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE
BIOSCIENCE TRENDS,IEEE TRANSACTIONS ON FUZZY SYSTEMS,,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE PART C-STUDIES IN HISTORY AND PHILOSOPHY OF BIOLOGICAL AND BIOMEDICAL SCIENCES
BIOSEMIOTICS,IEEE TRANSACTIONS ON GAMES,,STUDIES IN INFORMATICS AND CONTROL
BIOSENSORS-BASEL,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,STUDIES IN MYCOLOGY
BIOSENSORS & BIOELECTRONICS,IEEE TRANSACTIONS ON GREEN COMMUNICATIONS AND NETWORKING,,STUDIES IN SCIENCE EDUCATION
BIOSTATISTICS,IEEE TRANSACTIONS ON HAPTICS,,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT
BIOSYSTEMS,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,,SUBSTANCE ABUSE
BIOSYSTEMS ENGINEERING,IEEE TRANSACTIONS ON IMAGE PROCESSING,,SUBSTANCE USE & MISUSE
BIOTA NEOTROPICA,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,,SUBTERRANEAN BIOLOGY
BIOTECHNIC & HISTOCHEMISTRY,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,SUCHTTHERAPIE
BIOTECHNIQUES,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,,SUGAR INDUSTRY-ZUCKERINDUSTRIE
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT,IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,,SUGAR TECH
BIOTECHNOLOGY ADVANCES,IEEE TRANSACTIONS ON INFORMATION THEORY,,SUMARSKI LIST
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,,SUPERCONDUCTOR SCIENCE & TECHNOLOGY
BIOTECHNOLOGY AND BIOENGINEERING,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,,SUPPORTIVE CARE IN CANCER
BIOTECHNOLOGY AND BIOPROCESS ENGINEERING,IEEE TRANSACTIONS ON INTELLIGENT VEHICLES,,SUPRAMOLECULAR CHEMISTRY
BIOTECHNOLOGY AND GENETIC ENGINEERING REVIEWS,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,,SURFACE AND INTERFACE ANALYSIS
BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,,SURFACE COATINGS INTERNATIONAL
BIOTECHNOLOGY FOR BIOFUELS AND BIOPRODUCTS,IEEE TRANSACTIONS ON MAGNETICS,,SURFACE & COATINGS TECHNOLOGY
BIOTECHNOLOGY JOURNAL,IEEE TRANSACTIONS ON MEDICAL IMAGING,,SURFACE ENGINEERING
BIOTECHNOLOGY LAW REPORT,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,,SURFACE INNOVATIONS
BIOTECHNOLOGY LETTERS,IEEE TRANSACTIONS ON MOBILE COMPUTING,,SURFACE REVIEW AND LETTERS
BIOTECHNOLOGY PROGRESS,IEEE TRANSACTIONS ON MULTIMEDIA,,SURFACES AND INTERFACES
BIOTROPICA,IEEE TRANSACTIONS ON NANOBIOSCIENCE,,SURFACE SCIENCE
BIPOLAR DISORDERS,IEEE TRANSACTIONS ON NANOTECHNOLOGY,,SURFACE SCIENCE REPORTS
BIRD CONSERVATION INTERNATIONAL,IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,,SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES
BIRD STUDY,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,,SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND
BIRTH DEFECTS RESEARCH,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,,SURGERY
BIRTH-ISSUES IN PERINATAL CARE,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,,SURGERY FOR OBESITY AND RELATED DISEASES
BIT NUMERICAL MATHEMATICS,IEEE TRANSACTIONS ON NUCLEAR SCIENCE,,SURGERY TODAY
BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,,SURGICAL AND RADIOLOGIC ANATOMY
BJPSYCH OPEN,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,,SURGICAL CLINICS OF NORTH AMERICA
BJS OPEN,IEEE TRANSACTIONS ON PLASMA SCIENCE,,SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES
BJU INTERNATIONAL,IEEE TRANSACTIONS ON POWER DELIVERY,,SURGICAL INFECTIONS
BLADDER CANCER,IEEE TRANSACTIONS ON POWER ELECTRONICS,,SURGICAL INNOVATION
BLOOD,IEEE TRANSACTIONS ON POWER SYSTEMS,,SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES
BLOOD ADVANCES,IEEE TRANSACTIONS ON RELIABILITY,,SURGICAL ONCOLOGY CLINICS OF NORTH AMERICA
BLOOD CANCER JOURNAL,IEEE TRANSACTIONS ON ROBOTICS,,SURGICAL ONCOLOGY-OXFORD
BLOOD CELLS MOLECULES AND DISEASES,IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,,SURVEY METHODOLOGY
BLOOD COAGULATION & FIBRINOLYSIS,IEEE TRANSACTIONS ON SERVICES COMPUTING,,SURVEY OF OPHTHALMOLOGY
BLOOD PRESSURE,IEEE TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING OVER NETWORKS,,SURVEY REVIEW
BLOOD PRESSURE MONITORING,IEEE TRANSACTIONS ON SIGNAL PROCESSING,,SURVEYS IN GEOPHYSICS
BLOOD PURIFICATION,IEEE TRANSACTIONS ON SMART GRID,,SUSTAINABILITY
BLOOD REVIEWS,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,,SUSTAINABILITY SCIENCE
BLOOD TRANSFUSION,IEEE TRANSACTIONS ON SUSTAINABLE COMPUTING,,SUSTAINABLE CHEMISTRY AND PHARMACY
BLUMEA,IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,,SUSTAINABLE CITIES AND SOCIETY
BMB REPORTS,IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,,SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS
BMC ANESTHESIOLOGY,IEEE TRANSACTIONS ON TERAHERTZ SCIENCE AND TECHNOLOGY,,SUSTAINABLE ENERGY & FUELS
BMC BIOINFORMATICS,IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION,,SUSTAINABLE ENERGY GRIDS & NETWORKS
BMC BIOLOGY,IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,,SUSTAINABLE ENERGY TECHNOLOGIES AND ASSESSMENTS
BMC BIOTECHNOLOGY,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,,SUSTAINABLE ENVIRONMENT RESEARCH
BMC CANCER,IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,,SUSTAINABLE MATERIALS AND TECHNOLOGIES
BMC CARDIOVASCULAR DISORDERS,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,,SUSTAINABLE PRODUCTION AND CONSUMPTION
BMC CHEMISTRY,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,,SWARM AND EVOLUTIONARY COMPUTATION
BMC COMPLEMENTARY MEDICINE AND THERAPIES,IEEE VEHICULAR TECHNOLOGY MAGAZINE,,SWARM INTELLIGENCE
BMC ECOLOGY AND EVOLUTION,IEEE WIRELESS COMMUNICATIONS,,SWISS JOURNAL OF GEOSCIENCES
BMC EMERGENCY MEDICINE,IEEE WIRELESS COMMUNICATIONS LETTERS,,SWISS JOURNAL OF PALAEONTOLOGY
BMC ENDOCRINE DISORDERS,IEEJ TRANSACTIONS ON ELECTRICAL AND ELECTRONIC ENGINEERING,,SWISS MEDICAL WEEKLY
BMC GASTROENTEROLOGY,IEICE ELECTRONICS EXPRESS,,SYDOWIA
BMC GENOMIC DATA,IEICE TRANSACTIONS ON COMMUNICATIONS,,SYLWAN
BMC GENOMICS,IEICE TRANSACTIONS ON ELECTRONICS,,SYMBIOSIS
BMC GERIATRICS,IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,,SYMMETRY-BASEL
BMC HEALTH SERVICES RESEARCH,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,,SYMMETRY INTEGRABILITY AND GEOMETRY-METHODS AND APPLICATIONS
BMC IMMUNOLOGY,IET BIOMETRICS,,SYNAPSE
BMC INFECTIOUS DISEASES,IET CIRCUITS DEVICES & SYSTEMS,,SYNLETT
BMC MEDICAL EDUCATION,IET COMMUNICATIONS,,SYNTHESE
BMC MEDICAL ETHICS,IET COMPUTERS AND DIGITAL TECHNIQUES,,SYNTHESIS-STUTTGART
BMC MEDICAL GENOMICS,IET COMPUTER VISION,,SYNTHETIC AND SYSTEMS BIOTECHNOLOGY
